Airplane.damage.,Airplane.fate.,DateCrash,YearCrash,First.flight.,AccidentCountry,Nature,Operator,Phase,Departcountry,Destcountry,Type,Total.airframe.hrs.,Status.,FatalCrew,FatalPass,OccupantsCrew,OccupantsPass,FatalTotal,OccupantsTotal
Substantial,Written off (damaged beyond repair),Wednesday 2 January 2013,2013,1988-05-31  (24 years 7 months),Argentina,Domestic Scheduled Passenger,SOL Líneas Aéreas,Taxi (TXI),Argentina,Argentina,Saab 340A,NA,Preliminary - official,0,0,3,28,0,31
Damaged beyond repair,NA,Friday 4 January 2013,2013,1968-04-11  (44 years 9 months),Venezuela,Domestic Non Scheduled Passenger,Transaereo 5074,En route (ENR),Venezuela,Venezuela,Britten-Norman BN-2A-27 Islander,NA,Preliminary,2,4,2,4,6,6
Substantial,NA,Tuesday 8 January 2013,2013,1986,Bolivia,Domestic Scheduled Passenger,Aeroeste,Landing (LDG),?,Bolivia,Let L-410UVP-E9,NA,Preliminary - official,0,0,2,10,0,12
Destroyed,Written off (damaged beyond repair),Tuesday 15 January 2013,2013,1994,United States of America,Cargo,Martinaire,En route (ENR),United States of America,United States of America,Cessna 208B Super Cargomaster,10132,Final,1,0,1,0,1,1
Damaged beyond repair,NA,Thursday 17 January 2013,2013,1988,South Africa,Military,South African Air Force - SAAF,Landing (LDG),?,South Africa,CASA C-212 Aviocar 300,NA,,0,0,5,0,0,5
Destroyed,Written off (damaged beyond repair),Wednesday 23 January 2013,2013,1979-11-13  (33 years 3 months),Antarctica,Ferry/positioning,Kenn Borek Air,En route (ENR),Antarctica,Antarctica,de Havilland Canada DHC-6 Twin Otter 300,28200,Final,3,0,3,0,3,3
Substantial,Repaired,Friday 25 January 2013,2013,1996,United States of America,Cargo,FedEx Express,Landing (LDG),?,United States of America,McDonnell Douglas MD-11F,NA,Preliminary - official,0,0,2,0,0,2
Substantial,Written off (damaged beyond repair),Friday 25 January 2013,2013,1984,New Zealand,Domestic Scheduled Passenger,Fly My Sky,Landing (LDG),?,New Zealand,Britten Norman BN-2B-26 Islander,NA,Final,0,0,1,8,0,9
Destroyed,Written off (damaged beyond repair),Tuesday 29 January 2013,2013,2000,Kazakhstan,Domestic Scheduled Passenger,SCAT,Approach (APR),Kazakhstan,Kazakhstan,Canadair CL-600-2B19 Regional Jet CRJ-200ER,25707,Preliminary - official,5,16,5,16,21,21
Substantial,NA,Saturday 2 February 2013,2013,1997-11-05  (15 years 3 months),Italy,Domestic Scheduled Passenger,NA,Landing (LDG),Italy,Italy,ATR-72-212A (ATR-72-500),NA,Preliminary - official,0,0,4,46,0,50
Substantial,Written off (damaged beyond repair),Wednesday 6 February 2013,2013,1990-08-17  (22 years 6 months),Tunisia,International Scheduled Passenger,Tunis Air,Landing (LDG),Morocco,Tunisia,Airbus A320-211,NA,Preliminary - official,0,0,8,75,0,83
Substantial,NA,Thursday 7 February 2013,2013,1979,Ukraine,Unknown,Poltava-Aero,En route (ENR),Ukraine,Ukraine,Antonov 2R,NA,Preliminary,0,0,1,0,0,1
Substantial,NA,Saturday 9 February 2013,2013,1986,Canada,Domestic Scheduled Passenger,Pacific Coastal Airlines,Landing (LDG),Canada,Canada,Beechcraft 1900C,NA,Preliminary - official,0,0,,,0,
Destroyed,Written off (damaged beyond repair),Monday 11 February 2013,2013,1992,Liberia,Military,Republique de Guinée,Approach (APR),Guinea,Liberia,IPTN/CASA CN-235-220,NA,Preliminary,5,6,5,6,11,11
Substantial,Written off (damaged beyond repair),Monday 11 February 2013,2013,1992-07-22  (20 years 7 months),Oman,International Scheduled Passenger,Pakistan International Airlines - PIA,Landing (LDG),Pakistan,Oman,Boeing 737-33A,NA,Preliminary,0,0,,,0,108
Destroyed,Written off (damaged beyond repair),Wednesday 13 February 2013,2013,1973,Ukraine,Domestic Non Scheduled Passenger,South Airlines,Landing (LDG),Ukraine,Ukraine,Antonov 24RV,NA,Preliminary - official,0,5,8,44,5,52
Substantial,NA,Friday 15 February 2013,2013,2010,Germany,Int'l Non Scheduled Passenger,Abelag Aviation,Landing (LDG),Belgium,Germany,Embraer EMB-500 Phenom 100,NA,Preliminary - official,0,0,2,1,0,3
Destroyed,Written off (damaged beyond repair),Wednesday 20 February 2013,2013,2007,United States of America,Executive,The Vein Guys,Initial climb (ICL),United States of America,United States of America,Hawker Beechcraft 390 Premier IA,503,Final,0,5,2,5,5,7
Damaged beyond repair,NA,Thursday 28 February 2013,2013,1991,South Sudan,Unknown,NA,Landing (LDG),?,South Sudan,Let L-410UVP-E9,NA,Preliminary,0,0,2,0,0,2
Substantial,Written off (damaged beyond repair),Saturday 2 March 2013,2013,1981,Russia,Parachuting,DOSAAF,En route (ENR),Russia,Russia,Antonov 2T,NA,Preliminary,0,0,2,12,0,14
Substantial,Repaired,Saturday 2 March 2013,2013,1991-02-07  (22 years ),Portugal,Domestic Scheduled Passenger,SATA Internacional,Landing (LDG),Portugal,Portugal,Airbus A310-304,60612,Final,0,0,8,117,0,125
Destroyed,Written off (damaged beyond repair),Monday 4 March 2013,2013,2007,France,Private,Global Jet Luxembourg,Takeoff (TOF),France,Switzerland,Hawker Beechcraft 390 Premier IA,1388,Final,1,1,1,2,2,3
Damaged beyond repair,NA,Monday 4 March 2013,2013,1992-12-09  (20 years 3 months),Congo (Democratic Republic),Cargo,Compagnie Africaine d'Aviation - CAA,Approach (APR),Congo (Democratic Republic),Congo (Democratic Republic),Fokker 50,NA,Preliminary,7,0,7,3,7,10
Destroyed,Written off (damaged beyond repair),Wednesday 6 March 2013,2013,1999,Peru,Domestic Non Scheduled Passenger,Aero Transporte SA - ATSA,En route (ENR),Peru,Peru,Beechcraft B200 King Air,NA,,2,7,2,7,9,9
Substantial,Repaired,Thursday 7 March 2013,2013,1990,Ireland,Cargo,Bin Air,Landing (LDG),United Kingdom,Ireland,Swearingen SA227-AC Metro III,NA,Final,0,0,2,0,0,2
Destroyed,Written off (damaged beyond repair),Friday 8 March 2013,2013,1988,United States of America,Cargo,ACE Air Cargo,Approach (APR),United States of America,United States of America,Beechcraft 1900C-1,29824,Final,2,0,2,0,2,2
Damaged beyond repair,NA,Saturday 16 March 2013,2013,1996-05-02  (16 years 11 months),Indonesia,-,GECAS,Standing (STD),-,-,Airbus A320-214,NA,#NAME?,0,0,0,0,0,0
Damaged beyond repair,NA,Saturday 16 March 2013,2013,1997-08-07  (15 years 8 months),Indonesia,-,Garuda Indonesia Airways,Standing (STD),-,-,Boeing 737-5U3,NA,#NAME?,0,0,0,0,0,0
Destroyed,Written off (damaged beyond repair),Sunday 17 March 2013,2013,2008,United States of America,Executive,Digicut Systems,Initial climb (ICL),United States of America,United States of America,Hawker Beechcraft 390 Premier IA,457,Preliminary - official,2,0,2,2,2,4
Damaged beyond repair,NA,Saturday 23 March 2013,2013,1989,Russia,Agricultural,Yug Line,En route (ENR),?,?,Antonov 2R,3612,Final,1,0,2,0,1,2
Substantial,NA,Wednesday 27 March 2013,2013,1970,Canada,Domestic Scheduled Passenger,Air Labrador,Landing (LDG),Canada,Canada,de Havilland Canada DHC-6 Twin Otter 300,NA,Final,0,0,2,8,0,10
Minor,Repaired,Friday 29 March 2013,2013,1997-01-06  (16 years 3 months),France,Int'l Non Scheduled Passenger,NA,Landing (LDG),Morocco,France,Airbus A321-111,37757,Final,0,0,7,174,0,181
Substantial,NA,Monday 1 April 2013,2013,1969-08-21  (43 years 8 months),Vanuatu,Domestic Scheduled Passenger,Air Vanuatu,Taxi (TXI),?,Vanuatu,Britten-Norman BN-2A-27 Islander,NA,Preliminary,0,0,1,,0,
Missing,Presumed damaged beyond repair,Sunday 7 April 2013,2013,1989,Sao Tome and Principe,Ferry/positioning,Sahel Air Service,Approach (APR),Namibia,Sao Tome and Principe,Beechcraft 1900C-1,NA,Preliminary,1,0,1,0,1,1
Damaged beyond repair,NA,Wednesday 10 April 2013,2013,,South Sudan,Unknown,Unknown,Unknown (UNK),?,?,Antonov 26,NA,Preliminary,0,0,,,0,
Substantial,Written off (damaged beyond repair),Saturday 13 April 2013,2013,2013-02-05  (2 months),Indonesia,Domestic Scheduled Passenger,Lion Air,Approach (APR),Indonesia,Indonesia,Boeing 737-8GP (WL),142,Final,0,0,7,101,0,108
Substantial,Written off (damaged beyond repair),Tuesday 16 April 2013,2013,1990-04-05  (23 years ),Spain,International Scheduled Passenger,Aeroméxico,Takeoff (TOF),Spain,Mexico,Boeing 767-283ER,99771,Final,0,0,9,154,0,163
